post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,menu_order,post_date,post_author,comment_status,sku,parent_sku,stock,regular_price,sale_price,visibility,stock_status,backorders,sold_individually,sale_price_dates_from,sale_price_dates_to,product_url,button_text,images,product_page_url
Chemistry,chemistry,,4672,,"Chemistry: An Introduction to General, Organic, and Biological Chemistry, Twelfth Edition is the ideal resource for todayâ€™s allied health students. Assuming no prior knowledge of chemistry, author Karen Timberlake engages students through her friendly presentation style and reveals connections between the structure and behavior of matter and its role in health and the environment. With a renewed focus on problem-solving skills, the Twelfth Edition encourages active learning through the new, interactive Pearson eText enhanced with media within MasteringChemistry",publish,0,"2021-09-07 07:24:05",2,open,sku_chem,,,200,100,,instock,no,no,2021-09-09,2021-09-30,,,"http://www.swiddly.com/wp-content/uploads/2021/09/c1.jpg ! alt :  ! title : c1 ! desc :  ! caption : ",https://www.swiddly.com/product/chemistry/
"social studies book",social-studies-book-2,,4746,,"grade 4 social studies book cbse board
in very good condition",publish,0,"2021-09-07 12:34:35",3,open,,,,50,20,visible,instock,no,,,,,,"http://www.swiddly.com/wp-content/uploads/2021/09/FB540844-F216-4B3E-85B0-F3108634A2EF.jpeg ! alt :  ! title : FB540844-F216-4B3E-85B0-F3108634A2EF ! desc :  ! caption : ",https://www.swiddly.com/product/social-studies-book-2/
"Mep book",mep-book,,4748,,"Moral education book 
In very good condition ",publish,0,"2021-09-07 13:11:42",3,open,,,,50,20,,instock,no,no,,,,,,https://www.swiddly.com/product/mep-book/
"NCERT hindi grade 10 sparsh",ncert-hindi-grade-10-sparsh,,4759,,"brand new , unused grade 10 hindi textbook",publish,0,"2021-09-10 15:29:35",11,open,,,,5,4,,instock,no,no,2021-10-07,2021-10-14,,,"http://www.swiddly.com/wp-content/uploads/2021/09/sparsh.jpg ! alt :  ! title : sparsh ! desc :  ! caption : ",https://www.swiddly.com/product/ncert-hindi-grade-10-sparsh/
"NCERT english grade 10 first flight",ncert-english-grade-10-first-flight,,4762,,"unused good condition book",publish,0,"2021-09-10 15:35:03",11,open,,,,5,4,,instock,no,no,,,,,"http://www.swiddly.com/wp-content/uploads/2021/09/firsst-flight.jpg ! alt :  ! title : firsst flight ! desc :  ! caption : ",https://www.swiddly.com/product/ncert-english-grade-10-first-flight/
"NCERT english grade 10 footsteps without feet",ncert-english-grade-10-footsteps-without-feet,,4764,,,publish,0,"2021-09-10 15:37:13",11,open,,,,5,4,,instock,no,no,,,,,"http://www.swiddly.com/wp-content/uploads/2021/09/feet2.png ! alt :  ! title : feet2 ! desc :  ! caption : ",https://www.swiddly.com/product/ncert-english-grade-10-footsteps-without-feet/
"NCERT hindi grade 10 sanchayan",ncert-hindi-grade-10-sanchayan,,4766,,,publish,0,"2021-09-10 15:40:02",11,open,,,,5,4,visible,instock,no,,,,,,"http://www.swiddly.com/wp-content/uploads/2021/09/10-Hindi-Book-part-1.jpg ! alt :  ! title : 10 Hindi Book part 1 ! desc :  ! caption : ",https://www.swiddly.com/product/ncert-hindi-grade-10-sanchayan/
